Application order,Age at enrollment,Unemployment rate,Inflation rate,GDP,Units 1st sem credit,Units 1st sem enroll,Units 1st sem approved,Units 1st sem grade,Units 1st sem eval,Units 1st sem without eval
5,20,12.4,0.5,1.79,0,5,3,13.33333333,10,0
1,28,11.1,0.6,2.02,0,6,4,12,15,0
1,26,10.8,1.4,1.74,0,5,2,12,9,0
1,24,7.6,2.6,0.32,0,5,2,11.5,9,0
1,27,12.4,0.5,1.79,0,7,6,11.66666667,14,0
2,19,9.4,-0.8,-3.12,0,6,5,13,8,0
1,19,12.4,0.5,1.79,3,6,6,13.14285714,7,0
1,20,15.5,2.8,-4.06,0,6,0,0,6,0
6,19,12.7,3.7,-1.7,0,8,7,12.65714286,8,0
5,21,13.9,-0.3,0.79,0,6,5,11.83333333,10,0
1,20,13.9,-0.3,0.79,0,7,6,12.7,9,0
1,18,16.2,0.3,-0.92,0,7,6,11.98,10,0
1,18,12.7,3.7,-1.7,0,6,6,15.14285714,7,0
1,19,9.4,-0.8,-3.12,0,6,4,14,10,0
1,43,10.8,1.4,1.74,0,8,7,11.63571429,8,0
1,35,15.5,2.8,-4.06,1,6,5,12.8,7,0
1,38,11.1,0.6,2.02,0,7,5,12.18,11,0
4,19,10.8,1.4,1.74,0,8,7,12.66571429,8,0
1,20,10.8,1.4,1.74,0,6,2,10.5,14,0
1,20,11.1,0.6,2.02,5,11,11,13.81818182,11,0
1,44,12.7,3.7,-1.7,0,6,1,14,9,0
4,19,8.9,1.4,3.51,0,5,5,12.4,7,0
6,18,11.1,0.6,2.02,0,7,6,13.97666667,8,0
1,49,10.8,1.4,1.74,0,6,6,12.28571429,8,0
5,18,9.4,-0.8,-3.12,0,8,8,13.435,8,0
1,20,11.1,0.6,2.02,0,6,5,11,9,0
3,18,12.4,0.5,1.79,0,6,6,16,6,0
1,37,16.2,0.3,-0.92,0,5,5,13,8,0
1,20,7.6,2.6,0.32,0,6,5,12.6,9,0
1,23,16.2,0.3,-0.92,2,7,5,12.2,8,0
1,55,7.6,2.6,0.32,0,5,0,0,5,0
1,18,13.9,-0.3,0.79,0,6,6,14.5,8,0
1,25,12.4,0.5,1.79,9,13,10,11.45454545,16,0
6,20,12.4,0.5,1.79,0,4,0,0,4,0
1,21,8.9,1.4,3.51,0,6,5,11.83333333,9,0
1,20,15.5,2.8,-4.06,0,6,0,0,0,0
1,34,9.4,-0.8,-3.12,3,8,3,11,9,0
3,18,13.9,-0.3,0.79,0,6,0,0,0,0
1,19,13.9,-0.3,0.79,0,6,6,13.66666667,10,0
6,18,9.4,-0.8,-3.12,0,8,8,12.93375,8,0
2,19,13.9,-0.3,0.79,0,5,2,10.75,15,0
1,18,9.4,-0.8,-3.12,0,5,4,13,7,0
1,19,10.8,1.4,1.74,0,6,6,13.83333333,6,0
3,20,15.5,2.8,-4.06,0,6,5,12.8,6,0
1,29,13.9,-0.3,0.79,0,6,6,16.11111111,9,0
3,18,8.9,1.4,3.51,0,6,6,14.66666667,7,0
1,22,8.9,1.4,3.51,0,6,6,11,8,0
1,24,7.6,2.6,0.32,0,5,0,0,5,0
1,57,9.4,-0.8,-3.12,12,15,12,11.75,17,0
1,18,7.6,2.6,0.32,0,7,6,13.18333333,7,0
